"","P.value","Term","time_point"
"KEGG_BASE_EXCISION_REPAIR",0.0001749605609682,"KEGG_BASE_EXCISION_REPAIR",0
"KEGG_PROTEIN_EXPORT",0.000536661617458426,"KEGG_PROTEIN_EXPORT",0
"KEGG_LONG_TERM_POTENTIATION",0.00170421705679286,"KEGG_LONG_TERM_POTENTIATION",0
"KEGG_GALACTOSE_METABOLISM",0.00701687441403945,"KEGG_GALACTOSE_METABOLISM",0
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",0.00868895374759876,"KEGG_LIMONENE_AND_PINENE_DEGRADATION",0
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.00879251295798922,"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0
"KEGG_GAP_JUNCTION",0.0118677852707096,"KEGG_GAP_JUNCTION",0
"KEGG_LINOLEIC_ACID_METABOLISM",0.0121157645385948,"KEGG_LINOLEIC_ACID_METABOLISM",0
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.0125663463194381,"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0.0170946944188415,"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0
